"{2.6097720329948247*^-6, {122.03184147783851, 50.35824635316715, 154.72239813972314, 20.521761810460355, 147.25794743628245, 39.01357837943062}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{4.529826381762688*^-7, {38.75679543340531, 147.34028988551339, 20.528782887211428, 154.41299964815659, 50.651630545872145, 122.25967820885397}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{4.958774814988572*^-7, {146.81792977300756, 24.595073258988144, 155.8004235932358, 29.753149236495936, 123.48486899735968, 55.67131820632984}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{1.7044874462329952*^-6, {32.241869530759956, 136.6788563068338, 54.83916058455513, 129.26471393109097, 23.463891258229914, 159.2072695756073}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{3.0691121165350274*^-7, {139.4476471087663, 47.356803855668254, 128.20827003473255, 42.07269799402658, 159.2682396392081, 19.666204537246077}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{3.5900187822663807*^-7, {19.39908394518783, 159.33447091606652, 42.05435683535801, 127.8369353465994, 47.64517689327267, 139.67720239219258}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{0.00005481838680482632, {158.96604803061098, 23.204894730836, 129.62895694869445, 54.88956378047642, 136.5706615429324, 32.50079044377995}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{0.00009974886166041924, {57.1753526397275, 121.79245193446548, 30.98333340168438, 154.28432085452988, 26.056190337764985, 145.77081058355768}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.895770316748151*^-7, {120.10283549268044, 51.93460907026964, 153.50944930271936, 21.69701350469261, 145.98753059829957, 40.34965985166445}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.434828069360923*^-7, {40.09312522129512, 146.0722723452141, 21.703186853629482, 153.19926236810795, 52.23304978837877, 120.3311916082649}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.895723316918174*^-6, {145.53853216549896, 25.79566383734865, 154.59386601677565, 30.98572381299373, 121.6093775691369, 57.43719574681898}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{1.0193977998452503*^-6, {33.49745977902095, 135.25055490652065, 56.5636489202258, 127.63050492306095, 24.650320090417484, 158.01870217647857}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{9.676637625074379*^-7, {138.06335163690446, 48.87219627833493, 126.53311581827278, 43.46395174413692, 158.07838380285224, 20.83932313485113}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{0.0012900199137954153, {20.573110493912253, 158.1457815544873, 43.44299724448597, 126.1528116456766, 49.16477640654063, 138.29239155376132}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{3.7564946120704207*^-7, {157.77834338359023, 24.391178098249643, 128.0026365755993, 56.62030886828372, 135.13771151292454, 33.755857196846705}}","{0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{6.093344316515234*^-7, {55.63068647904112, 124.00300257920048, 29.454923832301144, 155.39489165895026, 25.000143647932074, 146.82863995201507}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{2.233899474960206*^-7, {56.57997287613211, 50.49699313916951, 154.62572597877417, 20.214267695556032, 147.58367230418455, 39.17100551365482}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{4.6172575399567494*^-7, {38.914146614176836, 147.66551259471765, 20.221504256265018, 154.31666347716694, 50.789832988657054, 121.90741863908903}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.956972352529927*^-7, {146.595662497755, 24.740196811571007, 155.70344215597015, 29.45565281571672, 123.834852737197, 55.89133478334759}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{9.498892962811727*^-7, {32.39042195726725, 137.01399233696606, 54.50615671525217, 129.21223717229503, 23.62818507750648, 158.9831483698723}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{5.093219151373406*^-7, {139.20842729822348, 47.47720144331035, 128.15986773845924, 41.76994728804104, 159.576910908356, 19.81691178458262}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{0.00002599784134584181, {19.549776703297756, 159.64287149181044, 41.75211785964646, 127.78970000415937, 47.76501832545794, 139.43803713907874}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.923688360631164*^-6, {158.7419138697249, 23.36940673317791, 129.57541264441642, 54.55559172474107, 136.90661884716894, 32.649390890316866}}","{0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{4.725972461190416*^-7, {57.40407493427384, 122.14818140663743, 30.686111140197813, 154.18899057822568, 26.199988029569933, 145.54616032506814}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.5194206246224374*^-7, {119.73182022688998, 52.07146770933989, 153.41413505612832, 21.390052009276307, 146.31391024262462, 40.509379423454774}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{4.1369479830683454*^-7, {40.25276159080695, 146.3981206437586, 21.396453350012024, 153.10430267155473, 52.36932838811643, 119.96044831059724}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{0.000711498360438447, {145.3138537371384, 25.93971306175287, 154.49819242648215, 30.68817368782411, 121.96700821133983, 57.6662431723704}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.226870660577678*^-7, {33.647434481122396, 135.58796720444025, 56.22546627079503, 127.58272071035478, 24.81360116646336, 157.79368450403567}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{4.6768911591235686*^-7, {137.82002432440984, 48.99041174446321, 126.48983214122458, 43.1598293949449, 158.38673261709815, 20.990460808084162}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{3.846645271739321*^-7, {20.724226848242008, 158.45383815340554, 43.139419277309116, 126.11082621485419, 49.28239218865066, 138.04913464423007}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.1596159235053233*^-7, {157.55331152466013, 24.55468668605121, 127.9536790422254, 56.28105436075361, 135.47600634052637, 33.905884640284306}}","{0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
